date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2022-04-22,30338697,662802,0,8068.0,51.0,0.0,0.026600173705596416,0.0076951977439490855,não informado,13056.42857142857,92.57142857142857,0.0,-567.6734693877551,-4.734693877551021,0.0,descendo,descendo,estavel,2.1846752350636547,0.0,14087.852715789146,3077.7382943408797
2022-04-23,30345808,662855,0,7111.0,53.0,0.0,0.023438712611817177,0.007996354869176617,não informado,13675.857142857143,95.71428571428571,0.0,-565.9489795918369,-4.42857142857143,0.0,descendo,descendo,estavel,2.1843379487539103,0.0,14091.154727100375,3077.98440121684
2022-04-24,30349463,662891,0,3655.0,36.0,0.0,0.012044497216880829,0.005431052040038922,não informado,13835.0,97.71428571428571,0.0,-554.5816326530613,-4.275510204081634,0.0,descendo,descendo,estavel,2.184193506158577,0.0,14092.851935839306,3078.1515681514543
2022-04-25,30355919,662964,0,6456.0,73.0,0.0,0.021272205046922905,0.011012368549278841,não informado,13547.285714285714,99.0,0.0,-527.765306122449,-3.193877551020409,0.0,descendo,descendo,estavel,2.183969459135795,0.0,14095.849796200058,3078.4905455466446
2022-04-26,30378061,663108,0,22142.0,144.0,0.0,0.07294129359088092,0.02172063641464695,não informado,14691.714285714286,101.71428571428571,0.0,-399.7142857142857,-2.4795918367346936,0.0,descendo,descendo,estavel,2.182851630984611,0.0,14106.131491384032,3079.159213285102
2022-04-27,30399004,663350,0,20943.0,242.0,0.0,0.06894120069085383,0.0364948092920007,não informado,12433.57142857143,98.71428571428571,0.0,-559.2346938775509,-2.3775510204081636,0.0,descendo,descendo,estavel,2.182143862344964,0.0,14115.856427805224,3080.2829465677873
2022-04-28,30418920,663464,0,19916.0,114.0,0.0,0.06551530438299887,0.017185497851812767,não informado,12613.0,101.85714285714286,0.0,-514.3367346938776,-1.040816326530612,0.0,descendo,descendo,estavel,2.1810899269270574,0.0,14125.104474110167,3080.8123085273996
2022-04-29,30433042,663649,0,14122.0,185.0,0.0,0.04642505388093989,0.027883954517502082,não informado,13477.857142857143,121.0,0.0,-279.76530612244886,0.7142857142857143,0.0,descendo,subindo,estavel,2.1806857165313938,0.0,14131.662061473013,3081.6713608302784
2022-04-30,30448236,663736,0,15194.0,87.0,0.0,0.04992599819630256,0.013109339424906842,não informado,14632.57142857143,125.85714285714286,0.0,-8.9795918367346,1.7448979591836735,0.0,descendo,subindo,estavel,2.1798832615459234,0.0,14138.717434818931,3082.0753475889305
2022-05-01,30454499,663752,0,6263.0,16.0,0.0,0.020569336102098,0.0024105969843431726,não informado,15005.142857142857,123.0,0.0,65.27551020408166,1.7040816326530615,0.0,subindo,subindo,estavel,2.1794875036361625,0.0,14141.625675128624,3082.1496440043143
