date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d
2021-08-06,20116562,562029,0,42671.0,959.0,0.0,0.21256965079664925,0.17092341419074267,não informado,32786.28571428572,900.2857142857143,0.0,-977.7040816326527,-16.52040816326531,-2269.8061224489797,descendo,descendo,descendo
2021-08-07,20156095,563028,0,39533.0,999.0,0.0,0.19651966374771196,0.1777488350245272,não informado,33421.28571428572,907.4285714285714,0.0,-785.5918367346936,-14.071428571428564,-4105.061224489796,descendo,descendo,descendo
2021-08-08,20169989,563417,0,13894.0,389.0,0.0,0.06893200294997617,0.06909070241622087,não informado,32498.571428571428,903.7142857142857,0.0,-866.8979591836734,-14.316326530612246,-4053.3061224489797,descendo,descendo,descendo
2021-08-09,20185531,563925,0,15542.0,508.0,0.0,0.07705507424917286,0.09016412355324742,não informado,32022.428571428572,898.5714285714286,0.0,-948.7244897959182,-14.244897959183675,-3932.3673469387754,descendo,descendo,descendo
2021-08-10,20220993,565193,0,35462.0,1268.0,0.0,0.1756802929781733,0.22485259564658422,não informado,32446.14285714286,903.0,0.0,-1045.4183673469386,-13.01020408163265,-3514.448979591837,descendo,descendo,descendo
2021-08-11,20256436,566238,0,35443.0,1045.0,0.0,0.17527823683040689,0.18489259421118096,não informado,31718.428571428572,899.1428571428571,0.0,-1007.7346938775507,-13.01020408163265,-3449.3571428571427,descendo,descendo,descendo
2021-08-12,20292294,567254,0,35858.0,1016.0,0.0,0.1770202813565032,0.17942985105203113,não informado,31200.428571428572,883.4285714285714,0.0,-969.6326530612247,-13.214285714285706,-3070.3673469387754,descendo,descendo,descendo
2021-08-13,20325289,568146,0,32995.0,892.0,0.0,0.16259866922882155,0.15724878096937175,não informado,29818.14285714286,873.8571428571429,0.0,-387.32653061224454,-9.755102040816325,-3021.8061224489797,descendo,descendo,descendo
2021-08-14,20354591,569058,0,29302.0,912.0,0.0,0.1441652317957201,0.16052211931440158,não informado,28356.571428571428,861.4285714285714,0.0,-496.2142857142857,-9.295918367346937,-1169.4183673469388,descendo,descendo,descendo
2021-08-15,20368358,569447,0,13767.0,389.0,0.0,0.06763584687110637,0.06835858559232978,não informado,28338.428571428572,861.4285714285714,0.0,-518.9081632653059,-8.642857142857142,-706.0204081632653,descendo,descendo,descendo
2021-08-16,20386548,569861,0,18190.0,414.0,0.0,0.08930518601450348,0.07270211275149399,não informado,28716.714285714286,848.0,0.0,-465.6938775510204,-8.775510204081636,-678.8469387755102,descendo,descendo,descendo
2021-08-17,20425554,570955,0,39006.0,1094.0,0.0,0.19133204895698872,0.19197663991745356,não informado,29223.0,823.1428571428571,0.0,-316.31632653061234,-10.02040816326531,-568.8469387755102,descendo,descendo,descendo
2021-08-18,20465725,571945,0,40171.0,990.0,0.0,0.19667030818356263,0.17339370002889895,não informado,29898.428571428572,815.2857142857143,0.0,-201.62244897959187,-7.510204081632651,-292.81632653061223,descendo,descendo,descendo
2021-08-19,20501738,572968,0,36013.0,1023.0,0.0,0.175967379606635,0.17886335224540822,não informado,29920.571428571428,816.2857142857143,0.0,-181.29591836734704,-5.244897959183667,0.0,descendo,descendo,estavel
2021-08-20,20535951,573862,0,34213.0,894.0,0.0,0.1668785348832377,0.15602965610644923,não informado,30094.571428571428,816.5714285714286,0.0,-192.2653061224493,-5.9795918367346985,0.0,descendo,descendo,estavel
2021-08-21,20561273,574473,0,25322.0,611.0,0.0,0.12330570909523499,0.10647159073087258,não informado,29526.0,773.5714285714286,0.0,-278.23469387755125,-9.56122448979592,0.0,descendo,descendo,estavel
2021-08-22,20575218,574806,0,13945.0,333.0,0.0,0.06782167621625373,0.057966170733872606,não informado,29551.428571428572,765.5714285714286,0.0,-210.5102040816325,-9.867346938775508,0.0,descendo,descendo,estavel
2021-08-23,20590872,575223,0,15654.0,417.0,0.0,0.07608181842836367,0.07254621559273912,não informado,29189.14285714286,766.0,0.0,-202.37755102040813,-9.469387755102039,0.0,descendo,descendo,estavel
2021-08-24,20622681,576082,0,31809.0,859.0,0.0,0.1544810729725288,0.14933338896393225,não informado,28161.0,732.4285714285714,0.0,-306.0816326530613,-12.183673469387754,0.0,descendo,descendo,estavel
2021-08-25,20652660,576969,0,29979.0,887.0,0.0,0.14536907204257293,0.15397113605354792,não informado,26705.0,717.7142857142857,0.0,-358.1020408163266,-12.959183673469388,0.0,descendo,descendo,estavel
2021-08-26,20683583,577840,0,30923.0,871.0,0.0,0.1497288969072265,0.15096131681251507,não informado,25977.85714285714,696.0,0.0,-373.0408163265308,-13.387755102040817,0.0,descendo,descendo,estavel
2021-08-27,20711339,578658,0,27756.0,818.0,0.0,0.13419338419267107,0.14156167797314134,não informado,25055.428571428572,685.1428571428571,0.0,-340.1938775510204,-13.479591836734699,0.0,descendo,descendo,estavel
2021-08-28,20734286,579287,0,22947.0,629.0,0.0,0.11079438176353543,0.10869978467419443,não informado,24716.14285714286,687.7142857142857,0.0,-260.0306122448978,-12.408163265306127,0.0,descendo,descendo,estavel
2021-08-29,20745549,579565,0,11263.0,278.0,0.0,0.05432065516989589,0.04799002912200688,não informado,24333.0,679.8571428571429,0.0,-286.1020408163266,-12.969387755102039,0.0,descendo,descendo,estavel
