date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2020-02-25,77754,2665,27676,513.0,70.0,2661.0,0.6641550471899639,2.697495183044316,10.637617429542274,506.14285714285717,94.57142857142857,1924.2857142857142,-174.85714285714286,0.4183673469387758,98.74489795918366,descendo,subindo,subindo,3.427476399927978,35.59431026056537,5.368003814227882,1.8398706387989434
2020-02-26,78166,2717,30084,412.0,52.0,2408.0,0.5298762764616611,1.951219512195122,8.700679288914582,506.7142857142857,85.85714285714286,2017.4285714285713,-140.53061224489798,0.47959183673469447,103.62244897959184,descendo,subindo,subindo,3.4759358288770055,38.48732185349129,5.396447592959033,1.8757705537023377
2020-02-27,78600,2746,32930,434.0,29.0,2846.0,0.5552286160223115,1.0673536989326464,9.460178167796835,503.2857142857143,72.57142857142857,2130.8571428571427,-263.1122448979592,-2.326530612244898,103.83673469387755,descendo,descendo,subindo,3.493638676844784,41.895674300254456,5.426410214243788,1.895791660090769
2020-02-28,78928,2790,36329,328.0,44.0,3399.0,0.41730279898218825,1.602330662782229,10.321894928636501,482.57142857142856,78.85714285714286,2517.8571428571427,-294.5918367346939,-2.5612244897959178,118.8469387755102,descendo,descendo,subindo,3.5348672207581595,46.02802554226637,5.449054775952082,1.9261685111628715
2020-02-29,79356,2837,39320,428.0,47.0,2991.0,0.5422663693492803,1.6845878136200716,8.233092020149192,336.42857142857144,56.285714285714285,2374.4285714285716,-298.4081632653061,-4.7346938775510194,101.21428571428571,descendo,descendo,subindo,3.5750289833156916,49.54886839054387,5.478603167449491,1.9586165111717084
2020-03-01,79932,2872,42162,576.0,35.0,2842.0,0.7258430364433691,1.2336975678533662,7.227873855544252,415.7142857142857,61.0,2710.714285714286,-283.40816326530614,-4.428571428571429,116.72448979591836,descendo,descendo,subindo,3.593054095981584,52.74733523494971,5.51836922703479,1.982779915433608
2020-03-02,80136,2914,44854,204.0,42.0,2692.0,0.2552169343942351,1.4623955431754874,6.384896352165457,413.57142857142856,45.57142857142857,2834.1428571428573,-277.39795918367344,-5.438775510204081,115.25510204081634,descendo,descendo,subindo,3.6363182589597685,55.972347010082856,5.532453039804583,2.0117760005478877
2020-03-03,80261,2947,47450,125.0,33.0,2596.0,0.15598482579614656,1.1324639670555936,5.7876666518036295,358.14285714285717,40.285714285714285,2824.8571428571427,-278.75510204081627,-6.214285714285714,104.12244897959182,descendo,descendo,subindo,3.6717708476096735,59.119622232466575,5.5410828270409755,2.0345586388519648
2020-03-04,80386,2983,50001,125.0,36.0,2551.0,0.15574189207709846,1.2215812690872072,5.376185458377239,317.14285714285717,38.0,2845.285714285714,-282.04081632653055,-7.479591836734694,92.21428571428571,descendo,descendo,subindo,3.710845172044883,62.20112954992163,5.549712614277368,2.059412426092776
2020-03-05,80537,3015,52292,151.0,32.0,2291.0,0.18784365436767597,1.0727455581629233,4.581908361832763,276.7142857142857,38.42857142857143,2766.0,-135.1530612244898,-6.122448979591836,77.1938775510204,descendo,descendo,subindo,3.743620944410644,64.92916299340675,5.560137397258931,2.0815046814179414
2020-03-06,80690,3044,53944,153.0,29.0,1652.0,0.18997479419397295,0.9618573797678276,3.159183049032357,251.71428571428572,36.285714285714285,2516.4285714285716,-75.81632653061224,-4.724489795918367,70.2857142857143,descendo,descendo,subindo,3.7724625108439707,66.85338951542941,5.570700256836276,2.101525787806373
2020-03-07,80770,3072,55539,80.0,28.0,1595.0,0.09914487544925021,0.9198423127463863,2.9567699836867862,202.0,33.57142857142857,2317.0,-73.20408163265306,-5.561224489795919,28.755102040816332,descendo,descendo,subindo,3.803392348644299,68.76191655317568,5.576223320667567,2.120856511215893
2020-03-08,80823,3100,57388,53.0,28.0,1849.0,0.06561842268168874,0.9114583333333334,3.3291920992455752,127.28571428571429,32.57142857142857,2175.1428571428573,-57.326530612244895,-4.6020408163265305,28.51020408163267,descendo,descendo,subindo,3.8355418630835283,71.00454078665727,5.579882350455798,2.1401872346254125
2020-03-09,80860,3123,58804,37.0,23.0,1416.0,0.04577904804325501,0.7419354838709677,2.467414790548547,103.42857142857143,29.857142857142858,1992.857142857143,-41.66326530612245,-5.326530612244897,14.255102040816334,descendo,descendo,subindo,3.8622310165718527,72.72322532772694,5.58243676747777,2.1560660431403758
2020-03-10,80887,3139,60181,27.0,16.0,1377.0,0.03339104625278259,0.5123278898495036,2.3416774369090536,89.42857142857143,27.428571428571427,1818.7142857142858,-29.76530612244898,-4.795918367346938,-7.540816326530603,descendo,descendo,descendo,3.8807224893987904,74.40132530567335,5.584300801520831,2.1671121708029584
2020-03-11,80921,3161,61644,34.0,22.0,1463.0,0.042033948594953456,0.7008601465434852,2.430999817218059,76.42857142857143,25.428571428571427,1663.2857142857142,-30.73469387755102,-4.316326530612245,-25.295918367346935,descendo,descendo,descendo,3.9062789634334725,76.17800076617937,5.58664810364913,2.1823005963390094
2020-03-12,80932,3172,62901,11.0,11.0,1257.0,0.01359350477626327,0.34799114204365705,2.039127895658945,56.42857142857143,22.428571428571427,1515.5714285714287,-31.918367346938773,-3.581632653061224,-43.94897959183671,descendo,descendo,descendo,3.9193396925814263,77.72080264913754,5.587407524925933,2.189894809107035
2020-03-13,80945,3180,64196,13.0,8.0,1295.0,0.01606286759254683,0.25220680958385877,2.0587907982385016,36.42857142857143,19.428571428571427,1464.5714285714287,-31.86734693877551,-4.244897959183674,-75.234693877551,descendo,descendo,descendo,3.928593489406387,79.30817221570202,5.588305022798517,2.1954178729383265
