date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,casos_recuperados,crescimento_casos,crescimento_mortes,crescimento_recuperacoes,casos_7d,mortes_7d,recuperacao_7d
2022-07-16,562173878,6388670,0,553003.0,1084.0,0.0,0.09846553513524582,0.01697041730631885,0.0,954879.0,1881.2857142857142,0.0
2022-07-17,562633320,6389656,0,459442.0,986.0,0.0,0.08172596023751925,0.015433572245866509,0.0,960103.8571428572,1901.2857142857142,0.0
2022-07-18,563831363,6391734,0,1198043.0,2078.0,0.0,0.21293495379903915,0.0325213125714436,0.0,980784.5714285715,1943.4285714285713,0.0
2022-07-19,565376142,6394813,0,1544779.0,3079.0,0.0,0.2739789059942733,0.04817159162130339,0.0,1026749.7142857143,2031.857142857143,0.0
2022-07-20,566978238,6397714,0,1602096.0,2901.0,0.0,0.2833681651886895,0.04536489182717306,0.0,1051752.7142857143,2073.285714285714,0.0
2022-07-21,568132310,6400258,0,1154072.0,2544.0,0.0,0.20354784763361589,0.039764203276357775,0.0,1073424.7142857143,2140.0,0.0
2022-07-22,569227609,6403118,0,1095299.0,2860.0,0.0,0.19278942259066378,0.044685698607774875,0.0,1086676.2857142857,2218.8571428571427,0.0
2022-07-23,569864429,6404405,0,636820.0,1287.0,0.0,0.111874404883267,0.02009958273453652,0.0,1098650.142857143,2247.8571428571427,0.0
2022-07-24,570415520,6405438,0,551091.0,1033.0,0.0,0.09670563241981191,0.01612952335150572,0.0,1111742.857142857,2254.5714285714284,0.0
2022-07-25,571389219,6407386,0,973699.0,1948.0,0.0,0.17069994869704808,0.03041165959298958,0.0,1079693.7142857143,2236.0,0.0
2022-07-26,572585879,6410303,0,1196660.0,2917.0,0.0,0.2094299227581331,0.04552558562883523,0.0,1029962.4285714285,2212.8571428571427,0.0
2022-07-27,574012504,6413653,0,1426625.0,3350.0,0.0,0.2491547647824546,0.05225962017708055,0.0,1004895.1428571428,2277.0,0.0
2022-07-28,575128637,6416416,0,1116133.0,2763.0,0.0,0.1944440220765644,0.0430799733007071,0.0,999475.2857142857,2308.285714285714,0.0
2022-07-29,576504042,6419438,0,1375405.0,3022.0,0.0,0.23914736834778758,0.04709794377421913,0.0,1039490.4285714285,2331.4285714285716,0.0
2022-07-30,577080293,6420533,0,576251.0,1095.0,0.0,0.09995610750635464,0.017057567967787835,0.0,1030837.7142857143,2304.0,0.0
2022-07-31,577625050,6421448,0,544757.0,915.0,0.0,0.09439882224500083,0.014251153292102074,0.0,1029932.8571428572,2287.1428571428573,0.0
2022-08-01,578498268,6423883,0,873218.0,2435.0,0.0,0.15117384538637998,0.03791979628270758,0.0,1015578.4285714285,2356.714285714286,0.0
2022-08-02,579688847,6426763,0,1190579.0,2880.0,0.0,0.20580511055220654,0.04483269698405155,0.0,1014709.7142857143,2351.4285714285716,0.0
2022-08-03,580844327,6429907,0,1155480.0,3144.0,0.0,0.19932762308259486,0.04892042852677156,0.0,975974.7142857143,2322.0,0.0
2022-08-04,582298507,6433081,0,1454180.0,3174.0,0.0,0.25035623701632537,0.04936307787966451,0.0,1024267.1428571428,2380.714285714286,0.0
2022-08-05,583199840,6436031,0,901333.0,2950.0,0.0,0.15478882208434033,0.045856720908690564,0.0,956542.5714285715,2370.4285714285716,0.0
2022-08-06,584378161,6437762,0,1178321.0,1731.0,0.0,0.2020441226458498,0.026895457775141234,0.0,1042552.5714285715,2461.285714285714,0.0
2022-08-07,584876085,6438704,0,497924.0,942.0,0.0,0.08520578509435434,0.014632414183686816,0.0,1035862.1428571428,2465.1428571428573,0.0
2022-08-08,585692322,6441006,0,816237.0,2302.0,0.0,0.1395572533966746,0.03575253653530276,0.0,1027722.0,2446.1428571428573,0.0
2022-08-09,586732558,6444566,0,1040236.0,3560.0,0.0,0.17760792841672252,0.055270869177889294,0.0,1006244.4285714285,2543.285714285714,0.0
2022-08-10,587759595,6447272,0,1027037.0,2706.0,0.0,0.1750434650330074,0.041988863175580794,0.0,987895.4285714285,2480.714285714286,0.0
2022-08-11,588765069,6450479,0,1005474.0,3207.0,0.0,0.17106892146949979,0.04974196838600884,0.0,923794.5714285715,2485.4285714285716,0.0
2022-08-12,589518048,6453293,0,752979.0,2814.0,0.0,0.12789124892869622,0.04362466725339312,0.0,902601.1428571428,2466.0,0.0
2022-08-13,590154612,6454777,0,636564.0,1484.0,0.0,0.10798040910869619,0.02299601149366688,0.0,825207.2857142857,2430.714285714286,0.0
2022-08-14,590615366,6455771,0,460754.0,994.0,0.0,0.07807343882961978,0.01539944757193006,0.0,819897.2857142857,2438.1428571428573,0.0
2022-08-15,591470649,6458166,0,855283.0,2395.0,0.0,0.14481218221471062,0.0370985897733981,0.0,825475.2857142857,2451.4285714285716,0.0
2022-08-16,592553956,6461602,0,1083307.0,3436.0,0.0,0.1831548195724586,0.05320395914258011,0.0,831628.2857142857,2433.714285714286,0.0
2022-08-17,593544473,6464838,0,990517.0,3236.0,0.0,0.16716064249852045,0.050080459923096475,0.0,826411.1428571428,2509.4285714285716,0.0
2022-08-18,594489234,6467820,0,944761.0,2982.0,0.0,0.1591727398664531,0.04612644585989626,0.0,817737.8571428572,2477.285714285714,0.0
2022-08-19,595290702,6470533,0,801468.0,2713.0,0.0,0.1348162345358806,0.04194612713402661,0.0,824664.8571428572,2462.8571428571427,0.0
2022-08-20,595865130,6471724,0,574428.0,1191.0,0.0,0.09649537580044379,0.018406520761118133,0.0,815788.2857142857,2421.0,0.0
2022-08-21,596349664,6473445,0,484534.0,1721.0,0.0,0.0813160521744241,0.02659260499984239,0.0,819185.4285714285,2524.8571428571427,0.0
2022-08-22,597060819,6474866,0,711155.0,1421.0,0.0,0.11925134580104332,0.021951217628326185,0.0,798595.7142857143,2385.714285714286,0.0
2022-08-23,597949972,6477794,0,889153.0,2928.0,0.0,0.14892167961870564,0.04522101306806967,0.0,770859.4285714285,2313.1428571428573,0.0
2022-08-24,598834543,6480950,0,884571.0,3156.0,0.0,0.14793394789221598,0.04872028965416313,0.0,755724.2857142857,2301.714285714286,0.0
